URL: https://npb.jp/bis/2015/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
ヤクルト,.257,143,5423,4817,574,1240,223,16,107,1816,547,83,29,104,31,433,4,37,909,96,.377,.322
中　　日,.253,143,5414,4835,473,1222,188,19,71,1661,434,88,33,114,27,401,10,36,1000,83,.344,.313
DeNA,.249,143,5328,4763,508,1186,219,18,112,1777,488,57,36,137,24,361,7,43,1047,77,.373,.306
阪　　神,.247,143,5373,4705,465,1160,192,15,78,1616,446,48,38,138,28,464,9,38,1001,93,.343,.317
広　　島,.246,143,5386,4752,506,1170,201,32,105,1750,473,80,50,135,29,441,12,29,1082,87,.368,.312
巨　　人,.243,143,5304,4672,489,1137,190,16,98,1653,467,99,32,116,30,434,6,52,974,92,.354,.313

URL: https://npb.jp/bis/2016/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
広　島,.272,143,5582,4914,684,1338,203,35,153,2070,649,118,52,91,29,500,13,47,1063,85,.421,.343
ヤクルト,.256,143,5509,4828,594,1234,210,20,113,1823,565,82,24,85,33,524,10,39,907,117,.378,.331
巨　人,.251,143,5356,4797,519,1203,217,19,128,1842,497,62,26,112,23,389,11,35,961,100,.384,.310
DeNA,.249,143,5364,4838,572,1205,194,21,140,1861,548,67,34,81,18,373,7,54,1049,92,.385,.309
中　日,.245,143,5405,4813,500,1180,209,21,89,1698,473,60,28,108,28,410,7,46,1001,103,.353,.309
阪　神,.245,143,5401,4789,506,1171,204,17,90,1679,475,59,25,88,38,435,17,51,1149,99,.351,.312

URL: https://npb.jp/bis/2017/stats/tmb_c.html
チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
広　島,.273,143,5592,4872,736,1329,237,23,152,2068,705,112,40,116,44,511,4,49,1114,95,.424,.345
DeNA,.252,143,5402,4872,597,1230,245,14,134,1905,571,39,18,84,22,378,6,46,1091,101,.391,.311
巨　人,.249,143,5384,4775,536,1190,223,15,113,1782,519,56,22,87,27,452,15,43,1006,129,.373,.318
阪　神,.249,143,5520,4807,589,1195,213,18,113,1783,559,70,29,113,26,531,10,43,1008,97,.371,.327
中　日,.247,143,5306,4794,487,1183,190,23,111,1752,451,77,41,115,21,320,4,56,1103,86,.365,.300
